frame	time	active_motion	active_phase	replacement_blend	hand_r_x	hand_r_y	hand_r_z	swept_target_distance	pelvis_x	pelvis_y	pelvis_z	lead_foot_drift	detached_centroid_x	detached_centroid_y	detached_centroid_z	detached_min_y	attached_voxels	base_joints	replacement_joints	physics_joints
0	0	Punch_Jab	0	0	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	0	0	0	0	0	1673	0	0	0
1	0.0333333	Punch_Jab	0.0384615	0	-0.229049	1.31985	0.100455	0.641256	0.0179599	0.825105	-0.0219902	0.000131006	0	0	0	0	1673	0	0	0
2	0.0666667	Punch_Jab	0.0769231	0	-0.229911	1.31979	0.0999183	0.642036	0.0179373	0.825111	-0.0217356	0.000124435	0	0	0	0	1673	0	0	0
3	0.1	Punch_Jab	0.115385	0	-0.232123	1.31956	0.0984689	0.64411	0.0178761	0.825127	-0.0210445	4.38253e-07	0	0	0	0	1673	0	0	0
4	0.133333	Punch_Cross	0.153846	0	-0.236373	1.31915	0.0955788	0.648205	0.0177573	0.825157	-0.0196988	5.84764e-07	0.0468637	1.47953	0.228257	1.41095	1644	1	43	21
5	0.166667	Punch_Cross	0.0333333	0.1262	-0.30913	1.30766	0.0472356	0.648205	0.0136223	0.826352	0.0327257	0.00094315	0.0419736	1.47261	0.224362	1.40327	1644	1	43	21
6	0.2	Punch_Cross	0.0666667	0.41701	-0.309247	1.32072	-0.00133979	0.719689	0.012986	0.826002	0.0150112	0.00249116	0.0371142	1.45487	0.220501	1.38482	1644	1	43	21
7	0.233333	Punch_Cross	0.1	0.740741	-0.271215	1.32586	0.0532811	0.699183	0.0151331	0.825496	-0.00570595	0.00208612	0.0322852	1.42635	0.216674	1.35567	1644	1	43	21
8	0.266667	Punch_Cross	0.133333	0.965706	-0.23477	1.33296	0.0775392	0.664135	0.0175412	0.825154	-0.0199263	0.000390375	0.0274864	1.38714	0.21288	1.31587	1644	1	43	21
9	0.3	Punch_Cross	0.166667	1	-0.228974	1.31988	0.100521	0.641169	0.0179631	0.825104	-0.0220266	3.18887e-16	0.0227175	1.33729	0.209119	1.2655	1644	1	43	21
10	0.333333	Punch_Cross	0.2	1	-0.223012	1.32357	0.396784	0.368116	0.0042498	0.838271	-0.0182436	4.77457e-07	0.0179783	1.27688	0.205391	1.20462	1644	1	43	21
11	0.366667	Punch_Cross	0.233333	1	-0.173846	1.3982	0.612873	0.176063	-0.00825875	0.851661	-0.0151551	3.282e-06	0.0132685	1.20595	0.201696	1.13329	1644	1	43	21
12	0.4	Punch_Cross	0.266667	1	-0.142903	1.34095	0.666797	0.120278	-0.0072266	0.851661	-0.0152873	3.54278e-06	0.00858781	1.12458	0.198032	1.05158	1644	1	43	21
13	0.433333	Punch_Cross	0.3	1	-0.126083	1.3574	0.667742	0.103004	-0.00706163	0.851661	-0.0153119	3.45216e-06	0.00393608	1.03282	0.194399	0.959536	1644	1	43	21
14	0.466667	Punch_Cross	0.333333	1	-0.125064	1.36859	0.66608	0.102926	-0.00728119	0.851661	-0.0152827	0.000118814	-0.00068697	0.930749	0.190798	0.857233	1644	1	43	21
15	0.5	Punch_Cross	0.366667	1	-0.131462	1.37513	0.663722	0.103188	-0.00750075	0.851661	-0.0152536	0.000114278	-0.00528158	0.818419	0.187228	0.744728	1644	1	43	21
16	0.533333	Punch_Cross	0.4	1	-0.139885	1.37726	0.661769	0.110717	-0.00772031	0.851661	-0.0152245	5.75599e-05	-0.00984799	0.695893	0.183688	0.622084	1644	1	43	21
17	0.566667	Punch_Cross	0.433333	1	-0.145018	1.37249	0.660603	0.119422	-0.00793987	0.851661	-0.0151953	5.85828e-06	-0.0143864	0.563234	0.180178	0.489359	1644	1	43	21
18	0.6	Punch_Cross	0.466667	1	-0.145906	1.35901	0.659313	0.123922	-0.00815943	0.851661	-0.0151662	2.99923e-06	-0.0188971	0.420501	0.176698	0.346615	1644	1	43	21
19	0.633333	Punch_Cross	0.5	1	-0.140473	1.33826	0.656893	0.122392	-0.00818426	0.851661	-0.0151634	7.43049e-05	-0.0233803	0.267756	0.173247	0.19391	1644	1	43	21
